Date,Sales
2021-01-01,1957201.45
2021-02-01,1148680.72
2021-03-01,833653.98
2021-04-01,846772.12
2021-05-01,604851.72
2021-06-01,519330.53
2021-07-01,920292.36
2021-08-01,1288544.3
2021-09-01,654914.18
2021-10-01,1313700.06
2021-11-01,1038592.75
2021-12-01,1088268.43
2022-01-01,908551.67
2022-02-01,1086202.76
2022-03-01,714896.82
2022-04-01,851676.96
2022-05-01,1155571.34
2022-06-01,729605.65
2022-07-01,951507.4
2022-08-01,816652.25
2022-09-01,635421.05
2022-10-01,976628.72
2022-11-01,547973.79
2022-12-01,1375286.93
2023-01-01,759856.8
2023-02-01,689501.41
2023-03-01,906091.57
2023-04-01,774278.08
2023-05-01,1364462.24
2023-06-01,986317.31
2023-07-01,906673.4
2023-08-01,652709.76
2023-09-01,634029.0
2023-10-01,1112694.74
2023-11-01,724397.43
2023-12-01,1604795.47
2024-01-01,1037706.85
2024-02-01,710209.15
2024-03-01,699537.79
2024-04-01,886745.65
2024-05-01,514820.06
2024-06-01,1267587.33
2024-07-01,1342591.9
2024-08-01,1122263.5
2024-09-01,456346.98
2024-10-01,1174611.35
2024-11-01,905528.2
2024-12-01,1891752.07
2025-01-01,1018409.5298
2025-02-01,857648.5003
2025-03-01,881629.2658
2025-04-01,990119.5909
2025-05-01,1115678.7437
2025-06-01,1236928.6632
2025-07-01,1413392.4
2025-08-01,1174674.6
2025-09-01,1049522.04
2025-10-01,955122.66
2025-11-01,982098.42
2025-12-01,1955925.02
2026-01-01,1951253.94
2026-02-01,979734.05
2026-03-01,1418340.66
2026-04-01,1107488.78
2026-05-01,1133356.3699999999
